time,distance,elevation,pace,heartrate,cadence
16:57,"3,4 km",23 m,4:42/km,128 bpm,174 ppm
17:04,"3,4 km",23 m,4:43/km,126 bpm,174 ppm
17:10,"3,5 km",22 m,4:48/km,125 bpm,172 ppm
17:17,"3,5 km",22 m,4:53/km,125 bpm,172 ppm
17:23,"3,5 km",22 m,4:53/km,125 bpm,172 ppm
17:30,"3,5 km",22 m,4:55/km,125 bpm,172 ppm
17:37,"3,5 km",21 m,5:04/km,126 bpm,170 ppm
17:44,"3,6 km",21 m,5:12/km,125 bpm,172 ppm
17:51,"3,6 km",21 m,5:10/km,125 bpm,172 ppm
17:59,"3,6 km",21 m,5:15/km,125 bpm,172 ppm
18:06,"3,6 km",21 m,5:16/km,125 bpm,172 ppm
18:13,"3,7 km",22 m,5:16/km,125 bpm,172 ppm
18:20,"3,7 km",22 m,5:13/km,126 bpm,172 ppm
18:27,"3,7 km",22 m,5:03/km,127 bpm,172 ppm
18:35,"3,7 km",21 m,4:57/km,127 bpm,172 ppm
18:41,"3,8 km",21 m,5:22/km,126 bpm,170 ppm
18:46,"3,8 km",21 m,5:10/km,125 bpm,170 ppm
18:56,"3,8 km",21 m,5:40/km,122 bpm,172 ppm
19:02,"3,8 km",21 m,5:35/km,117 bpm,174 ppm
19:10,"3,8 km",20 m,5:08/km,118 bpm,170 ppm
19:18,"3,9 km",19 m,5:17/km,121 bpm,170 ppm
19:24,"3,9 km",20 m,5:22/km,125 bpm,172 ppm
19:31,"3,9 km",20 m,5:20/km,129 bpm,170 ppm
19:39,"3,9 km",20 m,5:14/km,129 bpm,172 ppm
19:47,"4,0 km",20 m,5:22/km,128 bpm,172 ppm
19:53,"4,0 km",21 m,5:23/km,128 bpm,172 ppm
20:00,"4,0 km",22 m,5:11/km,128 bpm,172 ppm
20:08,"4,0 km",23 m,5:18/km,129 bpm,172 ppm
20:15,"4,0 km",23 m,5:38/km,131 bpm,172 ppm
20:22,"4,1 km",23 m,5:39/km,132 bpm,172 ppm
20:31,"4,1 km",24 m,5:29/km,132 bpm,176 ppm
20:39,"4,1 km",24 m,5:33/km,133 bpm,174 ppm
20:46,"4,1 km",25 m,5:33/km,136 bpm,172 ppm
20:53,"4,2 km",26 m,5:15/km,137 bpm,172 ppm
21:01,"4,2 km",26 m,5:06/km,134 bpm,172 ppm
21:08,"4,2 km",26 m,5:07/km,133 bpm,174 ppm
21:14,"4,2 km",25 m,4:58/km,133 bpm,174 ppm
21:21,"4,3 km",25 m,4:45/km,133 bpm,172 ppm
21:28,"4,3 km",24 m,4:42/km,132 bpm,176 ppm
21:34,"4,3 km",24 m,4:44/km,132 bpm,174 ppm
21:40,"4,3 km",24 m,4:39/km,131 bpm,174 ppm
21:46,"4,3 km",25 m,4:54/km,130 bpm,172 ppm
21:53,"4,4 km",26 m,5:11/km,124 bpm,172 ppm
22:01,"4,4 km",25 m,5:24/km,125 bpm,168 ppm
22:09,"4,4 km",25 m,5:29/km,126 bpm,170 ppm
22:17,"4,4 km",25 m,5:20/km,127 bpm,172 ppm
22:23,"4,5 km",26 m,5:17/km,127 bpm,172 ppm
22:30,"4,5 km",26 m,5:08/km,125 bpm,172 ppm
22:38,"4,5 km",27 m,5:14/km,125 bpm,172 ppm
22:44,"4,5 km",27 m,5:19/km,125 bpm,172 ppm
22:52,"4,6 km",28 m,5:19/km,126 bpm,170 ppm
22:59,"4,6 km",28 m,5:15/km,126 bpm,170 ppm
23:07,"4,6 km",29 m,5:15/km,126 bpm,172 ppm
23:13,"4,6 km",30 m,5:11/km,127 bpm,172 ppm
23:20,"4,6 km",30 m,5:12/km,129 bpm,172 ppm
23:28,"4,7 km",31 m,5:15/km,131 bpm,172 ppm
23:35,"4,7 km",31 m,5:18/km,133 bpm,174 ppm
23:42,"4,7 km",32 m,5:19/km,134 bpm,174 ppm
23:49,"4,7 km",32 m,5:19/km,134 bpm,174 ppm
23:57,"4,8 km",33 m,5:17/km,131 bpm,174 ppm
24:04,"4,8 km",33 m,5:17/km,133 bpm,174 ppm
24:11,"4,8 km",34 m,5:14/km,132 bpm,174 ppm
24:18,"4,8 km",35 m,5:08/km,129 bpm,172 ppm
24:25,"4,8 km",35 m,5:08/km,129 bpm,172 ppm
24:32,"4,9 km",36 m,5:07/km,128 bpm,170 ppm
24:39,"4,9 km",36 m,5:14/km,129 bpm,174 ppm
24:47,"4,9 km",36 m,5:22/km,128 bpm,174 ppm
24:54,"4,9 km",36 m,5:25/km,128 bpm,174 ppm
25:02,"5,0 km",37 m,5:16/km,130 bpm,174 ppm
25:09,"5,0 km",37 m,5:12/km,130 bpm,176 ppm
25:16,"5,0 km",37 m,5:06/km,131 bpm,178 ppm
25:22,"5,0 km",38 m,5:02/km,131 bpm,178 ppm
25:30,"5,1 km",39 m,5:00/km,131 bpm,174 ppm
25:37,"5,1 km",39 m,5:06/km,131 bpm,174 ppm
