time,distance,elevation,pace,heartrate,cadence
30:33,"7,3 km",5 m,3:58/km,135 bpm,170 ppm
30:44,"7,4 km",4 m,4:01/km,140 bpm,168 ppm
30:53,"7,4 km",5 m,4:00/km,139 bpm,168 ppm
31:03,"7,4 km",6 m,4:05/km,137 bpm,168 ppm
31:14,"7,5 km",5 m,4:08/km,136 bpm,168 ppm
31:24,"7,5 km",3 m,3:59/km,135 bpm,170 ppm
31:34,"7,6 km",2 m,4:00/km,134 bpm,170 ppm
31:43,"7,6 km",3 m,3:54/km,128 bpm,170 ppm
31:53,"7,6 km",3 m,3:48/km,126 bpm,170 ppm
32:02,"7,7 km",4 m,3:55/km,127 bpm,170 ppm
32:12,"7,7 km",4 m,3:55/km,136 bpm,170 ppm
32:22,"7,8 km",4 m,3:53/km,139 bpm,170 ppm
32:32,"7,8 km",5 m,4:05/km,139 bpm,172 ppm
32:42,"7,9 km",5 m,4:01/km,138 bpm,168 ppm
32:52,"7,9 km",4 m,3:55/km,136 bpm,172 ppm
33:01,"7,9 km",3 m,3:57/km,136 bpm,166 ppm
33:11,"8,0 km",3 m,3:44/km,135 bpm,168 ppm
33:20,"8,0 km",3 m,3:52/km,132 bpm,168 ppm
33:30,"8,1 km",4 m,3:59/km,136 bpm,164 ppm
33:40,"8,1 km",4 m,3:27/km,137 bpm,178 ppm
33:48,"8,1 km",4 m,3:02/km,137 bpm,178 ppm
33:55,"8,2 km",5 m,3:24/km,141 bpm,176 ppm
34:05,"8,2 km",5 m,4:09/km,141 bpm,166 ppm
34:17,"8,3 km",5 m,3:46/km,144 bpm,174 ppm
34:25,"8,3 km",3 m,3:11/km,142 bpm,178 ppm
34:32,"8,3 km",3 m,3:06/km,143 bpm,178 ppm
34:40,"8,4 km",3 m,3:37/km,144 bpm,174 ppm
34:50,"8,4 km",4 m,4:04/km,144 bpm,166 ppm
35:01,"8,5 km",4 m,3:31/km,144 bpm,176 ppm
35:09,"8,5 km",4 m,3:06/km,146 bpm,178 ppm
35:16,"8,6 km",4 m,3:09/km,145 bpm,178 ppm
35:24,"8,6 km",6 m,3:53/km,143 bpm,168 ppm
35:36,"8,6 km",5 m,4:03/km,148 bpm,168 ppm
35:45,"8,7 km",3 m,3:14/km,147 bpm,180 ppm
35:52,"8,7 km",3 m,3:06/km,147 bpm,180 ppm
36:00,"8,8 km",3 m,3:25/km,144 bpm,180 ppm
36:09,"8,8 km",3 m,4:00/km,145 bpm,166 ppm
36:21,"8,8 km",4 m,3:50/km,147 bpm,168 ppm
36:30,"8,9 km",4 m,3:13/km,149 bpm,178 ppm
36:37,"8,9 km",4 m,3:01/km,152 bpm,178 ppm
36:44,"9,0 km",5 m,3:36/km,149 bpm,178 ppm
36:55,"9,0 km",5 m,4:13/km,149 bpm,166 ppm
37:06,"9,0 km",4 m,3:35/km,149 bpm,182 ppm
37:14,"9,1 km",3 m,3:13/km,149 bpm,176 ppm
37:22,"9,1 km",3 m,3:18/km,149 bpm,178 ppm
37:30,"9,2 km",3 m,3:57/km,149 bpm,170 ppm
37:42,"9,2 km",4 m,4:06/km,148 bpm,164 ppm
37:52,"9,3 km",4 m,3:23/km,149 bpm,180 ppm
37:59,"9,3 km",4 m,2:59/km,147 bpm,180 ppm
38:06,"9,3 km",5 m,3:22/km,150 bpm,180 ppm
38:16,"9,4 km",6 m,4:03/km,153 bpm,168 ppm
38:27,"9,4 km",5 m,3:48/km,149 bpm,168 ppm
38:36,"9,5 km",3 m,3:10/km,146 bpm,180 ppm
38:43,"9,5 km",3 m,2:55/km,148 bpm,180 ppm
38:50,"9,5 km",3 m,3:26/km,154 bpm,180 ppm
39:01,"9,6 km",4 m,3:57/km,152 bpm,168 ppm
39:10,"9,6 km",4 m,3:28/km,149 bpm,178 ppm
39:18,"9,7 km",4 m,3:07/km,147 bpm,180 ppm
39:25,"9,7 km",4 m,3:03/km,144 bpm,180 ppm
39:33,"9,7 km",6 m,3:42/km,145 bpm,172 ppm
39:45,"9,8 km",5 m,4:14/km,146 bpm,166 ppm
39:56,"9,8 km",3 m,3:24/km,151 bpm,178 ppm
40:03,"9,9 km",3 m,2:55/km,150 bpm,180 ppm
40:10,"9,9 km",3 m,3:16/km,148 bpm,182 ppm
40:19,"10,0 km",3 m,3:55/km,149 bpm,168 ppm
40:30,"10,0 km",4 m,4:20/km,149 bpm,168 ppm
40:41,"10,0 km",4 m,4:02/km,149 bpm,170 ppm
40:50,"10,1 km",4 m,4:00/km,146 bpm,170 ppm
41:00,"10,1 km",5 m,4:22/km,142 bpm,172 ppm
41:12,"10,2 km",5 m,4:21/km,137 bpm,168 ppm
41:22,"10,2 km",4 m,4:08/km,136 bpm,170 ppm
41:32,"10,2 km",3 m,4:10/km,137 bpm,172 ppm
41:43,"10,3 km",3 m,4:16/km,137 bpm,170 ppm
41:53,"10,3 km",3 m,4:25/km,137 bpm,172 ppm
42:04,"10,4 km",4 m,4:31/km,135 bpm,168 ppm
42:16,"10,4 km",4 m,4:11/km,132 bpm,168 ppm
42:25,"10,4 km",4 m,4:03/km,131 bpm,168 ppm
42:35,"10,5 km",5 m,4:12/km,132 bpm,168 ppm
42:46,"10,5 km",5 m,4:07/km,132 bpm,168 ppm
42:56,"10,6 km",4 m,4:06/km,134 bpm,172 ppm
43:07,"10,6 km",3 m,4:05/km,133 bpm,170 ppm
43:16,"10,7 km",3 m,4:03/km,136 bpm,170 ppm
43:26,"10,7 km",3 m,4:01/km,138 bpm,172 ppm
43:36,"10,7 km",4 m,3:58/km,139 bpm,168 ppm
43:46,"10,8 km",4 m,3:49/km,141 bpm,172 ppm
43:55,"10,8 km",4 m,3:47/km,142 bpm,170 ppm
44:04,"10,9 km",4 m,3:40/km,142 bpm,170 ppm
44:13,"10,9 km",4 m,4:04/km,142 bpm,170 ppm
44:25,"10,9 km",5 m,4:04/km,141 bpm,170 ppm
