time,distance,elevation,pace,heartrate,cadence
28:44,"4,9 km",4 m,6:01/km,122 bpm,172 ppm
28:57,"4,9 km",4 m,5:32/km,123 bpm,172 ppm
29:08,"4,9 km",4 m,5:34/km,120 bpm,172 ppm
29:20,"5,0 km",5 m,5:40/km,120 bpm,170 ppm
29:33,"5,0 km",6 m,5:41/km,119 bpm,172 ppm
29:45,"5,0 km",6 m,5:43/km,115 bpm,170 ppm
29:58,"5,1 km",5 m,5:34/km,111 bpm,172 ppm
30:10,"5,1 km",5 m,5:20/km,114 bpm,170 ppm
30:21,"5,1 km",5 m,5:46/km,115 bpm,172 ppm
30:35,"5,2 km",5 m,5:46/km,111 bpm,172 ppm
30:47,"5,2 km",4 m,5:29/km,117 bpm,170 ppm
30:58,"5,3 km",4 m,5:27/km,120 bpm,170 ppm
31:10,"5,3 km",4 m,5:27/km,114 bpm,172 ppm
31:22,"5,3 km",5 m,5:46/km,114 bpm,172 ppm
31:36,"5,4 km",6 m,5:47/km,119 bpm,170 ppm
31:47,"5,4 km",6 m,5:29/km,119 bpm,172 ppm
31:59,"5,4 km",5 m,5:20/km,118 bpm,172 ppm
32:10,"5,5 km",5 m,5:02/km,121 bpm,172 ppm
32:21,"5,5 km",5 m,5:18/km,122 bpm,172 ppm
32:34,"5,5 km",4 m,5:29/km,123 bpm,172 ppm
32:45,"5,6 km",4 m,5:16/km,119 bpm,172 ppm
32:57,"5,6 km",4 m,5:13/km,115 bpm,172 ppm
33:08,"5,7 km",4 m,5:17/km,119 bpm,172 ppm
33:19,"5,7 km",6 m,5:21/km,121 bpm,172 ppm
33:32,"5,7 km",6 m,5:26/km,120 bpm,170 ppm
33:43,"5,8 km",6 m,5:07/km,122 bpm,172 ppm
33:54,"5,8 km",5 m,5:05/km,121 bpm,170 ppm
34:05,"5,8 km",5 m,5:05/km,123 bpm,172 ppm
34:15,"5,9 km",5 m,5:12/km,123 bpm,170 ppm
34:28,"5,9 km",4 m,5:14/km,122 bpm,170 ppm
34:38,"5,9 km",4 m,5:04/km,123 bpm,170 ppm
34:49,"6,0 km",4 m,5:05/km,124 bpm,172 ppm
35:00,"6,0 km",4 m,5:20/km,122 bpm,172 ppm
35:12,"6,1 km",6 m,5:15/km,115 bpm,172 ppm
35:24,"6,1 km",6 m,5:11/km,120 bpm,172 ppm
35:35,"6,1 km",5 m,4:49/km,127 bpm,172 ppm
35:45,"6,2 km",5 m,4:58/km,129 bpm,170 ppm
35:56,"6,2 km",4 m,5:10/km,129 bpm,172 ppm
36:07,"6,2 km",5 m,5:12/km,124 bpm,174 ppm
36:19,"6,3 km",4 m,5:12/km,121 bpm,174 ppm
36:29,"6,3 km",3 m,4:45/km,121 bpm,174 ppm
36:40,"6,3 km",3 m,4:54/km,123 bpm,174 ppm
36:51,"6,4 km",4 m,5:04/km,124 bpm,174 ppm
37:02,"6,4 km",5 m,5:00/km,129 bpm,174 ppm
37:13,"6,5 km",5 m,4:58/km,137 bpm,178 ppm
37:23,"6,5 km",4 m,4:40/km,137 bpm,174 ppm
37:33,"6,5 km",4 m,4:44/km,136 bpm,174 ppm
37:43,"6,6 km",4 m,5:00/km,139 bpm,174 ppm
37:56,"6,6 km",4 m,5:05/km,151 bpm,174 ppm
38:06,"6,6 km",3 m,5:08/km,153 bpm,174 ppm
38:17,"6,7 km",3 m,4:52/km,151 bpm,174 ppm
38:27,"6,7 km",3 m,4:59/km,149 bpm,172 ppm
38:38,"6,7 km",4 m,5:14/km,144 bpm,174 ppm
38:51,"6,8 km",5 m,5:14/km,140 bpm,174 ppm
39:01,"6,8 km",5 m,5:05/km,136 bpm,174 ppm
39:12,"6,9 km",4 m,4:48/km,133 bpm,174 ppm
39:22,"6,9 km",4 m,4:44/km,131 bpm,172 ppm
39:33,"6,9 km",4 m,4:59/km,129 bpm,172 ppm
39:44,"7,0 km",4 m,4:59/km,124 bpm,172 ppm
39:54,"7,0 km",3 m,5:07/km,120 bpm,172 ppm
40:06,"7,0 km",3 m,4:51/km,117 bpm,172 ppm
40:16,"7,1 km",3 m,4:49/km,118 bpm,172 ppm
40:26,"7,1 km",4 m,5:00/km,119 bpm,172 ppm
40:38,"7,1 km",5 m,5:15/km,121 bpm,170 ppm
40:48,"7,2 km",6 m,5:08/km,121 bpm,170 ppm
41:00,"7,2 km",4 m,4:53/km,123 bpm,172 ppm
41:10,"7,3 km",4 m,4:44/km,124 bpm,172 ppm
41:20,"7,3 km",4 m,5:08/km,121 bpm,170 ppm
41:33,"7,3 km",3 m,5:19/km,123 bpm,170 ppm
41:43,"7,4 km",3 m,5:09/km,122 bpm,170 ppm
41:55,"7,4 km",3 m,4:52/km,118 bpm,170 ppm
42:05,"7,4 km",3 m,4:50/km,118 bpm,170 ppm
42:15,"7,5 km",4 m,5:08/km,119 bpm,172 ppm
42:28,"7,5 km",5 m,5:17/km,118 bpm,170 ppm
42:38,"7,5 km",5 m,4:56/km,119 bpm,172 ppm
42:49,"7,6 km",4 m,4:51/km,112 bpm,172 ppm
42:59,"7,6 km",4 m,4:58/km,112 bpm,170 ppm
43:10,"7,6 km",4 m,5:08/km,115 bpm,172 ppm
43:22,"7,7 km",3 m,5:06/km,116 bpm,172 ppm
43:32,"7,7 km",3 m,4:46/km,117 bpm,172 ppm
43:43,"7,8 km",3 m,4:52/km,118 bpm,170 ppm
43:53,"7,8 km",3 m,5:08/km,117 bpm,172 ppm
44:05,"7,8 km",5 m,5:16/km,113 bpm,172 ppm
44:16,"7,9 km",5 m,5:09/km,115 bpm,170 ppm
44:27,"7,9 km",4 m,4:48/km,119 bpm,172 ppm
44:37,"7,9 km",4 m,4:44/km,119 bpm,172 ppm
44:48,"8,0 km",4 m,5:02/km,112 bpm,172 ppm
44:59,"8,0 km",4 m,5:11/km,115 bpm,170 ppm
45:10,"8,0 km",3 m,5:04/km,114 bpm,170 ppm
45:21,"8,1 km",3 m,4:52/km,114 bpm,170 ppm
45:31,"8,1 km",3 m,4:49/km,114 bpm,170 ppm
45:42,"8,2 km",4 m,5:02/km,115 bpm,172 ppm
45:54,"8,2 km",5 m,5:04/km,115 bpm,172 ppm
46:04,"8,2 km",5 m,4:51/km,115 bpm,172 ppm
46:15,"8,3 km",4 m,4:57/km,118 bpm,172 ppm
46:26,"8,3 km",4 m,5:00/km,111 bpm,170 ppm
46:36,"8,3 km",4 m,5:09/km,118 bpm,172 ppm
46:48,"8,4 km",3 m,4:53/km,123 bpm,170 ppm
46:58,"8,4 km",3 m,4:42/km,118 bpm,170 ppm
47:08,"8,4 km",3 m,4:41/km,119 bpm,172 ppm
47:19,"8,5 km",3 m,4:56/km,123 bpm,172 ppm
47:30,"8,5 km",5 m,5:08/km,125 bpm,172 ppm
47:41,"8,6 km",5 m,5:09/km,122 bpm,170 ppm
47:52,"8,6 km",4 m,4:58/km,117 bpm,172 ppm
